Building,Room,Date/Time
1901,113,4/29/19 3:31 PM
Foulke,102,4/29/19 3:32 PM
Foulke,101,4/29/19 3:32 PM
Pyne,324,4/29/19 3:33 PM
1901,117,4/29/19 3:34 PM
Scully,327,4/29/19 3:34 PM
1903,411,4/29/19 3:46 PM
Lockhart,421,4/29/19 3:46 PM
Cuyler,438,4/29/19 3:46 PM
Cuyler,232,4/29/19 3:47 PM
Cuyler,233,4/29/19 3:47 PM
Pyne,632,4/29/19 3:47 PM
Pyne,433,4/29/19 3:48 PM
Patton,308,4/29/19 3:51 PM
Dod,213,4/29/19 3:53 PM
Cuyler,235,4/29/19 3:55 PM
Brown,312,4/29/19 3:59 PM
Brown,225,4/29/19 3:59 PM
Brown,226,4/29/19 3:59 PM
Lockhart,331,4/29/19 4:06 PM
Laughlin,617,4/29/19 4:13 PM
Pyne,731,4/29/19 4:13 PM
Pyne,431,4/29/19 4:13 PM
Pyne,741,4/29/19 4:13 PM
Henry,141,4/29/19 4:20 PM
Wright,010,4/29/19 4:24 PM
Cuyler,632,4/29/19 4:25 PM
Scully,360,4/29/19 4:27 PM
Scully,362,4/29/19 4:28 PM
Scully,238,4/29/19 4:35 PM
Little,399,4/29/19 4:37 PM
Scully,127,4/29/19 4:37 PM
Patton,061,4/29/19 4:41 PM
Scully,213,4/29/19 4:51 PM
Henry,324,4/29/19 4:51 PM
Patton,T11,4/29/19 4:57 PM
Pyne,432,4/29/19 5:02 PM
Pyne,434,4/29/19 5:02 PM
Pyne,335,4/29/19 5:02 PM
Pyne,439,4/29/19 5:02 PM
Scully,140,4/29/19 5:03 PM
Pyne,437,4/29/19 5:05 PM
Scully,130,4/29/19 5:06 PM
Scully,122,4/29/19 5:07 PM
Scully,128,4/29/19 5:07 PM
Henry,220,4/30/19 12:00 AM
1903,515,4/30/19 12:00 AM
Lockhart,104,4/30/19 12:00 AM
Henry,204,4/30/19 10:05 AM
Henry,211,4/30/19 10:06 AM
Henry,203,4/30/19 10:06 AM
Henry,301,4/30/19 10:07 AM
Laughlin,512,4/30/19 10:07 AM
Patton,311,4/30/19 10:08 AM
Pyne,144,4/30/19 10:11 AM
Cuyler,634,4/30/19 10:15 AM
Dod,301N,4/30/19 10:19 AM
Scully,325,4/30/19 10:31 AM
Scully,228,4/30/19 10:37 AM
1903,523,4/30/19 10:56 AM
Laughlin,622,4/30/19 11:08 AM
Scully,371,4/30/19 11:54 AM
Scully,373,4/30/19 11:55 AM
Scully,304,4/30/19 12:12 PM
Scully,302,4/30/19 12:13 PM
1901,132,4/30/19 12:20 PM
Scully,338,4/30/19 12:29 PM
Scully,336,4/30/19 12:29 PM
Scully,448,4/30/19 12:29 PM
Scully,356,4/30/19 12:31 PM
Scully,358,4/30/19 12:31 PM
Dod,311,4/30/19 12:38 PM
Scully,361,4/30/19 1:05 PM
1901,404,4/30/19 1:06 PM
1901,405,4/30/19 1:06 PM
1901,402,4/30/19 1:07 PM
Scully,106,4/30/19 1:28 PM
1903,533,4/30/19 1:37 PM
Foulke,214,4/30/19 1:53 PM
Scully,444,4/30/19 1:53 PM
Scully,438,4/30/19 1:54 PM
Brown,325,4/30/19 2:04 PM
Scully,411,4/30/19 2:13 PM
Dod,402S,4/30/19 2:32 PM
Lockhart,423,4/30/19 2:34 PM
Scully,102,4/30/19 2:37 PM
Scully,328,4/30/19 2:40 PM
Scully,350,4/30/19 3:02 PM
Scully,430,4/30/19 3:07 PM
1903,525,4/30/19 3:14 PM
Scully,413,4/30/19 3:17 PM
Scully,348,4/30/19 3:38 PM
Scully,108,4/30/19 3:58 PM
Scully,110,4/30/19 3:59 PM
Patton,312,4/30/19 4:16 PM
Foulke,215,4/30/19 4:17 PM
Foulke,213,4/30/19 4:17 PM
Scully,268,4/30/19 4:22 PM
1901,223,4/30/19 4:22 PM
Scully,428,4/30/19 4:37 PM
Scully,116,4/30/19 4:40 PM
Brown,113,4/30/19 4:44 PM
Scully,138,4/30/19 4:57 PM
Scully,136,4/30/19 4:58 PM
Brown,213,4/30/19 5:05 PM
Foulke,113,4/30/19 5:16 PM
Foulke,303,5/1/19 10:18 AM
1901,202,5/1/19 10:51 AM
Scully,441,5/1/19 11:07 AM
1901,116,5/1/19 11:33 AM
Dod,302,5/1/19 11:38 AM
Pyne,413,5/1/19 11:48 AM
Pyne,411,5/1/19 11:49 AM
Henry,236,5/1/19 11:51 AM
Scully,104,5/1/19 11:52 AM
1901,235,5/1/19 12:02 PM
1901,214,5/1/19 12:20 PM
Scully,401,5/1/19 12:23 PM
Little,A46,5/1/19 1:01 PM
1901,201,5/1/19 1:48 PM
Foulke,204,5/1/19 2:16 PM
Scully,436,5/1/19 2:27 PM
Pyne,601,5/1/19 2:37 PM
Pyne,325,5/1/19 2:53 PM
Scully,236,5/1/19 3:14 PM
Foulke,123,5/1/19 3:23 PM
1903,413,5/1/19 3:24 PM
Brown,414,5/1/19 3:24 PM
Pyne,714,5/1/19 3:30 PM
1903,501,5/1/19 3:35 PM
Scully,149,5/1/19 3:46 PM
Brown,114,5/1/19 3:49 PM
Brown,111,5/1/19 3:49 PM
Pyne,412,5/1/19 3:56 PM
Little,A56,5/1/19 3:57 PM
1901,311,5/1/19 4:12 PM
Scully,118,5/1/19 4:19 PM
Patton,041,5/1/19 4:30 PM
Dod,401N,5/1/19 4:37 PM
Dod,101N,5/1/19 4:40 PM
Pyne,722,5/1/19 4:52 PM
Pyne,222,5/1/19 4:52 PM
Pyne,727,5/1/19 4:52 PM
Pyne,225,5/1/19 4:53 PM
Pyne,622,5/1/19 4:53 PM
Pyne,235,5/1/19 4:54 PM
Scully,207,5/1/19 4:54 PM
Pyne,711,5/1/19 4:55 PM
1901,126,5/1/19 4:57 PM
1901,325,5/1/19 4:59 PM
Scully,230,5/1/19 5:01 PM
Little,115,5/1/19 5:03 PM
Brown,123,5/1/19 5:23 PM
Little,141,5/2/19 12:00 AM
Pyne,316,5/2/19 12:00 AM
Henry,134,5/2/19 10:01 AM
Henry,224,5/2/19 10:01 AM
Cuyler,435,5/2/19 10:04 AM
Henry,226,5/2/19 10:04 AM
Brown,214,5/2/19 10:06 AM
Brown,413,5/2/19 10:07 AM
Dod,202S,5/2/19 10:07 AM
Dod,201S,5/2/19 10:07 AM
Henry,205,5/2/19 10:15 AM
Scully,353,5/2/19 10:19 AM
Scully,322,5/2/19 10:19 AM
Dod,201N,5/2/19 10:27 AM
Scully,370,5/2/19 10:36 AM
Scully,101,5/2/19 10:36 AM
Little,146,5/2/19 10:37 AM
Scully,117,5/2/19 10:40 AM
1901,233,5/2/19 10:47 AM
Scully,330,5/2/19 10:49 AM
Dod,202N,5/2/19 10:49 AM
Laughlin,613,5/2/19 10:49 AM
Laughlin,533,5/2/19 10:49 AM
Scully,420,5/2/19 10:56 AM
Pyne,602,5/2/19 10:57 AM
Foulke,306,5/2/19 10:59 AM
Foulke,307,5/2/19 10:59 AM
Foulke,308,5/2/19 10:59 AM
Little,142,5/2/19 11:02 AM
1901,331,5/2/19 11:02 AM
Scully,402,5/2/19 11:11 AM
Scully,242,5/2/19 11:14 AM
Scully,432,5/2/19 11:15 AM
Scully,403,5/2/19 11:16 AM
1903,401,5/2/19 11:17 AM
Laughlin,531,5/2/19 11:22 AM
Foulke,132,5/2/19 11:22 AM
Pyne,719,5/2/19 11:31 AM
Scully,404,5/2/19 11:31 AM
1901,421,5/2/19 11:31 AM
Foulke,124,5/2/19 11:31 AM
Pyne,715,5/2/19 11:33 AM
Pyne,716,5/2/19 11:33 AM
Brown,321,5/2/19 11:36 AM
Brown,322,5/2/19 11:36 AM
Brown,314,5/2/19 11:37 AM
Brown,420,5/2/19 11:39 AM
Scully,422,5/2/19 11:42 AM
Patton,T06,5/2/19 11:42 AM
Scully,433,5/2/19 11:44 AM
Scully,443,5/2/19 11:55 AM
1901,224,5/2/19 12:02 PM
Pyne,712,5/2/19 12:02 PM
Foulke,122,5/2/19 12:02 PM
Pyne,725,5/2/19 12:03 PM
Scully,366,5/2/19 12:03 PM
Pyne,717,5/2/19 12:03 PM
Brown,326,5/2/19 12:07 PM
Brown,222,5/2/19 12:07 PM
Brown,426,5/2/19 12:08 PM
Pyne,724,5/2/19 12:26 PM
Scully,364,5/2/19 12:27 PM
Scully,368,5/2/19 12:28 PM
Brown,425,5/2/19 12:29 PM
Cuyler,612,5/2/19 12:32 PM
Cuyler,622,5/2/19 12:34 PM
Cuyler,623,5/2/19 12:34 PM
Brown,328,5/2/19 12:38 PM
Brown,319,5/2/19 12:38 PM
Scully,372,5/2/19 12:39 PM
Dod,302N,5/2/19 1:05 PM
Brown,118,5/2/19 1:10 PM
Scully,107,5/2/19 1:10 PM
Little,A40,5/2/19 1:12 PM
Scully,374,5/2/19 1:13 PM
Pyne,315,5/2/19 1:16 PM
Pyne,615,5/2/19 1:18 PM
Little,122,5/2/19 1:25 PM
Pyne,643,5/2/19 1:26 PM
Henry,218,5/2/19 1:27 PM
1901,234,5/2/19 1:27 PM
Pyne,641,5/2/19 1:28 PM
Brown,219,5/2/19 1:28 PM
Henry,235,5/2/19 1:29 PM
1901,335,5/2/19 1:29 PM
Cuyler,112,5/2/19 1:31 PM
Cuyler,236,5/2/19 1:31 PM
Cuyler,436,5/2/19 1:32 PM
Cuyler,231,5/2/19 1:32 PM
Cuyler,434,5/2/19 1:32 PM
Brown,417,5/2/19 1:32 PM
Pyne,232,5/2/19 1:32 PM
Pyne,233,5/2/19 1:35 PM
Laughlin,612,5/2/19 1:36 PM
Little,143,5/2/19 1:39 PM
1901,215,5/2/19 1:40 PM
Dod,303,5/2/19 1:50 PM
Pyne,626,5/2/19 1:52 PM
Pyne,429,5/2/19 1:55 PM
Pyne,743,5/2/19 1:57 PM
Patton,072,5/2/19 2:01 PM
